# Time-averaged data for fix 4
# TimeStep c_3[1] c_3[2] c_3[3] c_3[4]
826 0.268572 0.236868 0.430297 0.935737
828 0.28389 0.252646 0.437717 0.974252
830 0.295919 0.265915 0.442654 1.00449
832 0.304586 0.276527 0.445098 1.02621
834 0.309853 0.284356 0.445047 1.03926
836 0.311728 0.289316 0.44251 1.04355
838 0.310253 0.29136 0.437501 1.03911
840 0.305504 0.290476 0.430052 1.02603
842 0.297591 0.286688 0.420208 1.00449
844 0.286652 0.280056 0.408024 0.974732
846 0.272858 0.27066 0.393564 0.937082
848 0.256395 0.258607 0.376904 0.891905
850 0.237471 0.244024 0.358125 0.83962
852 0.216313 0.227055 0.337315 0.780683
854 0.193157 0.207851 0.314568 0.715577
856 0.16825 0.186579 0.289979 0.644808
858 0.141844 0.163413 0.263646 0.568903
860 0.114204 0.13854 0.235673 0.488417
862 0.0855924 0.112155 0.206167 0.403915
864 0.0562772 0.0844723 0.17524 0.31599
866 0.0265278 0.0557157 0.143014 0.225258
868 -0.00338015 0.0261266 0.109624 0.13237
870 -0.0331689 -0.00404258 0.0752155 0.0380041
872 -0.0625639 -0.0345274 0.0399592 -0.0571321
874 -0.091289 -0.0650517 0.00404405 -0.152297
876 -0.119067 -0.0953337 -0.0323197 -0.246721
878 -0.14563 -0.12509 -0.0689036 -0.339624
880 -0.170716 -0.154044 -0.105458 -0.430219
882 -0.194074 -0.181931 -0.141715 -0.517721
884 -0.215468 -0.2085 -0.177396 -0.601365
886 -0.234683 -0.233518 -0.212208 -0.680409
888 -0.251517 -0.256772 -0.245862 -0.754151
890 -0.265797 -0.278074 -0.278067 -0.821938
892 -0.27737 -0.297254 -0.308544 -0.883169
894 -0.286111 -0.314173 -0.337021 -0.937305
896 -0.291921 -0.32872 -0.363245 -0.983886
898 -0.294727 -0.340808 -0.386984 -1.02252
900 -0.294479 -0.350376 -0.408029 -1.05288
902 -0.291151 -0.357396 -0.426202 -1.07475
904 -0.284741 -0.361867 -0.441343 -1.08795
906 -0.275275 -0.363808 -0.45332 -1.0924
908 -0.262806 -0.363263 -0.462026 -1.08809
910 -0.247403 -0.3603 -0.467379 -1.07508
912 -0.229164 -0.355005 -0.469328 -1.0535
914 -0.208211 -0.34748 -0.467847 -1.02354
916 -0.184693 -0.337842 -0.462943 -0.985478
918 -0.158779 -0.32622 -0.454646 -0.939645
920 -0.13067 -0.312742 -0.443016 -0.886428
922 -0.100583 -0.297548 -0.428144 -0.826275
